Index,Distance
7,"(True, 264.5861876849273)"
7,"(True, 809.9747666666667)"
7,"(True, 116.57866007784212)"
7,"(True, 5747.113274589027)"
7,"(True, 2075.3006306306042)"
7,"(True, 5529.37754346388)"
7,"(True, 129.53800127783518)"
7,"(True, 234.91364187201185)"
7,"(True, 505.8942666666666)"
7,"(True, 2571.135175548142)"
7,"(True, 850.0895900789086)"
7,"(True, 1255.5907186085392)"
7,"(True, 226.31102347474052)"
7,"(True, 125.823208941926)"
7,"(True, 869.589961063633)"
7,"(True, 1569.9359905999659)"
7,"(True, 3493.8599999999997)"
7,"(True, 211.7029353213105)"
7,"(True, 150.1357922599237)"
7,"(True, 1333.313880574615)"
7,"(True, 162.13099336621434)"
7,"(True, 137.01106666666658)"
7,"(True, 2011.6661019881506)"
7,"(True, 358.7253822676792)"
7,"(True, 129.8389276832332)"
7,"(True, 2055.719948087691)"
7,"(True, 100.8643817956003)"
8,"(True, 290.6992982971426)"
8,"(True, 1362.536783769518)"
8,"(True, 163.74563750637952)"
8,"(True, 994.5236561351165)"
8,"(True, 680.3820604681399)"
8,"(False, None)"
8,"(True, 2614.504828148942)"
8,"(True, 476.51826666666665)"
8,"(True, 357.10034860688415)"
8,"(True, 1256.2278787327284)"
8,"(True, 268.71363378939935)"
8,"(True, 2428.872883118629)"
8,"(True, 141.75826682622426)"
8,"(True, 113.51840630190851)"
8,"(True, 147.96783427737213)"
8,"(True, 334.44416897203325)"
8,"(True, 113.71537964336845)"
8,"(True, 828.1876345220641)"
8,"(False, None)"
8,"(True, 11692.167898901027)"
8,"(True, 2304.002561178508)"
8,"(True, 3601.862166909636)"
8,"(True, 144.3684175402523)"
8,"(True, 13.180066927589213)"
8,"(True, 62.10888400251444)"
8,"(True, 315.63091669836723)"
8,"(True, 324.6122734852847)"
8,"(True, 9529.702533448397)"
8,"(True, 933.7151989105719)"
8,"(False, None)"
8,"(True, 13.457689792258451)"
8,"(True, 1141.584563929833)"
8,"(True, 1113.7243501830521)"
8,"(True, 2567.657195984112)"
8,"(True, 4636.510368334339)"
8,"(True, 169.55393318787273)"
8,"(True, 1204.3462408918517)"
8,"(False, None)"
8,"(True, 113.51840630190851)"
8,"(True, 2462.666135531527)"
8,"(True, 4135.246057005451)"
8,"(True, 110.45232498001113)"
8,"(True, 2505.865043612578)"
8,"(True, 902.3755126192215)"
8,"(True, 3012.5947689140926)"
8,"(True, 4427.394552181013)"
8,"(True, 2984.582348487606)"
8,"(True, 2079.5864845222795)"
8,"(True, 15.807633971439104)"
8,"(True, 100.50752381416015)"
8,"(True, 1193.9892504926001)"
8,"(True, 1914.4867864062971)"
8,"(True, 683.7609617953034)"
8,"(True, 2744.1039896172483)"
8,"(True, 102.87552290841535)"
8,"(False, None)"
8,"(True, 2585.9601173080855)"
8,"(True, 5314.365137985269)"
